state_fips,year,state_apps,STATE,STATE_NAME
1,2005,31391.0,AL,Alabama
1,2006,33854.0,AL,Alabama
1,2007,33864.0,AL,Alabama
1,2008,31739.0,AL,Alabama
1,2009,29502.0,AL,Alabama
1,2010,30202.0,AL,Alabama
1,2011,29285.0,AL,Alabama
1,2012,29967.0,AL,Alabama
1,2013,29527.0,AL,Alabama
1,2014,29255.0,AL,Alabama
1,2015,31856.0,AL,Alabama
1,2016,34729.0,AL,Alabama
1,2017,37094.0,AL,Alabama
1,2018,42233.0,AL,Alabama
1,2019,41609.0,AL,Alabama
1,2020,60060.0,AL,Alabama
2,2005,4762.0,AK,Alaska
2,2006,5192.0,AK,Alaska
2,2007,5184.0,AK,Alaska
2,2008,4901.0,AK,Alaska
2,2009,4445.0,AK,Alaska
2,2010,4694.0,AK,Alaska
2,2011,5134.0,AK,Alaska
2,2012,5251.0,AK,Alaska
2,2013,5380.0,AK,Alaska
2,2014,5389.0,AK,Alaska
2,2015,5949.0,AK,Alaska
2,2016,6379.0,AK,Alaska
2,2017,7379.0,AK,Alaska
2,2018,9217.0,AK,Alaska
2,2019,8144.0,AK,Alaska
2,2020,8008.0,AK,Alaska
4,2005,57087.0,AZ,Arizona
4,2006,62962.0,AZ,Arizona
4,2007,65093.0,AZ,Arizona
4,2008,62124.0,AZ,Arizona
4,2009,58652.0,AZ,Arizona
4,2010,58403.0,AZ,Arizona
4,2011,58257.0,AZ,Arizona
4,2012,55673.0,AZ,Arizona
4,2013,55899.0,AZ,Arizona
4,2014,55761.0,AZ,Arizona
4,2015,57713.0,AZ,Arizona
4,2016,61958.0,AZ,Arizona
4,2017,68240.0,AZ,Arizona
4,2018,74149.0,AZ,Arizona
4,2019,77005.0,AZ,Arizona
4,2020,89990.0,AZ,Arizona
5,2005,19240.0,AR,Arkansas
5,2006,20185.0,AR,Arkansas
5,2007,19847.0,AR,Arkansas
5,2008,18472.0,AR,Arkansas
5,2009,18091.0,AR,Arkansas
5,2010,18002.0,AR,Arkansas
5,2011,18134.0,AR,Arkansas
5,2012,18054.0,AR,Arkansas
5,2013,17645.0,AR,Arkansas
5,2014,18265.0,AR,Arkansas
5,2015,19266.0,AR,Arkansas
5,2016,20656.0,AR,Arkansas
5,2017,23262.0,AR,Arkansas
5,2018,25772.0,AR,Arkansas
5,2019,25467.0,AR,Arkansas
5,2020,32459.0,AR,Arkansas
6,2005,273806.0,CA,California
6,2006,285711.0,CA,California
6,2007,288277.0,CA,California
6,2008,266863.0,CA,California
6,2009,251192.0,CA,California
6,2010,258553.0,CA,California
6,2011,272525.0,CA,California
6,2012,270841.0,CA,California
6,2013,280677.0,CA,California
6,2014,290376.0,CA,California
6,2015,306664.0,CA,California
6,2016,315368.0,CA,California
6,2017,328198.0,CA,California
6,2018,366993.0,CA,California
6,2019,368475.0,CA,California
6,2020,439921.0,CA,California
8,2005,56053.0,CO,Colorado
8,2006,59193.0,CO,Colorado
8,2007,61317.0,CO,Colorado
8,2008,59136.0,CO,Colorado
8,2009,59206.0,CO,Colorado
8,2010,61723.0,CO,Colorado
8,2011,59774.0,CO,Colorado
8,2012,61094.0,CO,Colorado
8,2013,63892.0,CO,Colorado
8,2014,68817.0,CO,Colorado
8,2015,72183.0,CO,Colorado
8,2016,75396.0,CO,Colorado
8,2017,80622.0,CO,Colorado
8,2018,88196.0,CO,Colorado
8,2019,86757.0,CO,Colorado
8,2020,93417.0,CO,Colorado
9,2005,28522.0,CT,Connecticut
9,2006,30317.0,CT,Connecticut
9,2007,29959.0,CT,Connecticut
9,2008,27912.0,CT,Connecticut
9,2009,26079.0,CT,Connecticut
9,2010,26389.0,CT,Connecticut
9,2011,26196.0,CT,Connecticut
9,2012,27012.0,CT,Connecticut
9,2013,26283.0,CT,Connecticut
9,2014,26285.0,CT,Connecticut
9,2015,26366.0,CT,Connecticut
9,2016,27904.0,CT,Connecticut
9,2017,30267.0,CT,Connecticut
9,2018,34080.0,CT,Connecticut
9,2019,32926.0,CT,Connecticut
9,2020,37470.0,CT,Connecticut
10,2005,11417.0,DE,Delaware
10,2006,11649.0,DE,Delaware
10,2007,13310.0,DE,Delaware
10,2008,13234.0,DE,Delaware
10,2009,12844.0,DE,Delaware
10,2010,13112.0,DE,Delaware
10,2011,14706.0,DE,Delaware
10,2012,15581.0,DE,Delaware
10,2013,15772.0,DE,Delaware
10,2014,16704.0,DE,Delaware
10,2015,17150.0,DE,Delaware
10,2016,19786.0,DE,Delaware
10,2017,23258.0,DE,Delaware
10,2018,26374.0,DE,Delaware
10,2019,25988.0,DE,Delaware
10,2020,31046.0,DE,Delaware
11,2005,7296.0,DC,District of Columbia
11,2006,7832.0,DC,District of Columbia
11,2007,7867.0,DC,District of Columbia
11,2008,7954.0,DC,District of Columbia
11,2009,7729.0,DC,District of Columbia
11,2010,7980.0,DC,District of Columbia
11,2011,8518.0,DC,District of Columbia
11,2012,8470.0,DC,District of Columbia
