STATE,state_fips,STATE_NAME,year,state_formations
AL,1,Alabama,2005,6492
AL,1,Alabama,2006,6047
AL,1,Alabama,2007,5521
AL,1,Alabama,2008,4399
AL,1,Alabama,2009,3866
AL,1,Alabama,2010,3912
AL,1,Alabama,2011,3724
AL,1,Alabama,2012,3591
AL,1,Alabama,2013,3490
AL,1,Alabama,2014,3667
AK,2,Alaska,2005,1435
AK,2,Alaska,2006,1300
AK,2,Alaska,2007,1186
AK,2,Alaska,2008,1049
AK,2,Alaska,2009,912
AK,2,Alaska,2010,862
AK,2,Alaska,2011,933
AK,2,Alaska,2012,920
AK,2,Alaska,2013,869
AK,2,Alaska,2014,900
AZ,4,Arizona,2005,12298
AZ,4,Arizona,2006,11458
AZ,4,Arizona,2007,9889
AZ,4,Arizona,2008,7521
AZ,4,Arizona,2009,6606
AZ,4,Arizona,2010,6640
AZ,4,Arizona,2011,6337
AZ,4,Arizona,2012,6018
AZ,4,Arizona,2013,6115
AZ,4,Arizona,2014,6308
AR,5,Arkansas,2005,4303
AR,5,Arkansas,2006,3997
AR,5,Arkansas,2007,3722
AR,5,Arkansas,2008,3057
AR,5,Arkansas,2009,2734
AR,5,Arkansas,2010,2744
AR,5,Arkansas,2011,2710
AR,5,Arkansas,2012,2571
AR,5,Arkansas,2013,2629
AR,5,Arkansas,2014,2707
CA,6,California,2005,72535
CA,6,California,2006,64939
CA,6,California,2007,59149
CA,6,California,2008,50572
CA,6,California,2009,44235
CA,6,California,2010,44314
CA,6,California,2011,45894
CA,6,California,2012,45147
CA,6,California,2013,47654
CA,6,California,2014,49316
CO,8,Colorado,2005,12462
CO,8,Colorado,2006,11617
CO,8,Colorado,2007,10583
CO,8,Colorado,2008,8911
CO,8,Colorado,2009,8337
CO,8,Colorado,2010,7921
CO,8,Colorado,2011,7543
CO,8,Colorado,2012,7619
CO,8,Colorado,2013,7920
CO,8,Colorado,2014,8673
CT,9,Connecticut,2005,4921
CT,9,Connecticut,2006,4451
CT,9,Connecticut,2007,4030
CT,9,Connecticut,2008,3379
CT,9,Connecticut,2009,3073
CT,9,Connecticut,2010,3158
CT,9,Connecticut,2011,3125
CT,9,Connecticut,2012,3002
CT,9,Connecticut,2013,2833
CT,9,Connecticut,2014,2919
DE,10,Delaware,2005,1660
DE,10,Delaware,2006,1484
DE,10,Delaware,2007,1487
DE,10,Delaware,2008,1262
DE,10,Delaware,2009,1121
DE,10,Delaware,2010,1198
DE,10,Delaware,2011,1241
DE,10,Delaware,2012,1221
DE,10,Delaware,2013,1203
DE,10,Delaware,2014,1336
DC,11,District of Columbia,2005,893
DC,11,District of Columbia,2006,866
DC,11,District of Columbia,2007,751
DC,11,District of Columbia,2008,706
DC,11,District of Columbia,2009,742
DC,11,District of Columbia,2010,679
DC,11,District of Columbia,2011,662
DC,11,District of Columbia,2012,691
DC,11,District of Columbia,2013,701
DC,11,District of Columbia,2014,730
FL,12,Florida,2005,46757
FL,12,Florida,2006,40473
FL,12,Florida,2007,34312
FL,12,Florida,2008,28868
FL,12,Florida,2009,27985
FL,12,Florida,2010,28532
FL,12,Florida,2011,28777
FL,12,Florida,2012,27529
FL,12,Florida,2013,28664
FL,12,Florida,2014,30338
GA,13,Georgia,2005,17357
GA,13,Georgia,2006,16631
GA,13,Georgia,2007,14824
GA,13,Georgia,2008,11906
GA,13,Georgia,2009,10573
GA,13,Georgia,2010,10681
GA,13,Georgia,2011,10321
GA,13,Georgia,2012,10076
GA,13,Georgia,2013,9975
GA,13,Georgia,2014,10749
HI,15,Hawaii,2005,1828
HI,15,Hawaii,2006,1727
HI,15,Hawaii,2007,1515
HI,15,Hawaii,2008,1267
HI,15,Hawaii,2009,1104
HI,15,Hawaii,2010,1079
HI,15,Hawaii,2011,1092
HI,15,Hawaii,2012,1009
HI,15,Hawaii,2013,1093
HI,15,Hawaii,2014,1064
ID,16,Idaho,2005,4450
ID,16,Idaho,2006,4357
ID,16,Idaho,2007,3546
ID,16,Idaho,2008,2541
ID,16,Idaho,2009,2063
ID,16,Idaho,2010,2012
ID,16,Idaho,2011,2046
ID,16,Idaho,2012,1927
ID,16,Idaho,2013,2125
ID,16,Idaho,2014,2243
IL,17,Illinois,2005,19692
IL,17,Illinois,2006,18204
IL,17,Illinois,2007,16979
IL,17,Illinois,2008,15219
IL,17,Illinois,2009,13942
IL,17,Illinois,2010,14208
IL,17,Illinois,2011,13948
IL,17,Illinois,2012,13517
IL,17,Illinois,2013,13404
IL,17,Illinois,2014,13515
IN,18,Indiana,2005,8581
IN,18,Indiana,2006,7850
IN,18,Indiana,2007,7200
IN,18,Indiana,2008,5829
IN,18,Indiana,2009,5256
IN,18,Indiana,2010,5276
IN,18,Indiana,2011,5244
IN,18,Indiana,2012,5143
IN,18,Indiana,2013,5055
IN,18,Indiana,2014,4956
IA,19,Iowa,2005,4569
IA,19,Iowa,2006,3870
IA,19,Iowa,2007,3566
IA,19,Iowa,2008,3175
IA,19,Iowa,2009,2806
IA,19,Iowa,2010,2880
IA,19,Iowa,2011,2765
IA,19,Iowa,2012,2679
IA,19,Iowa,2013,2623
IA,19,Iowa,2014,2607
KS,20,Kansas,2005,4643
KS,20,Kansas,2006,4084
KS,20,Kansas,2007,3830
KS,20,Kansas,2008,3276
KS,20,Kansas,2009,2925
KS,20,Kansas,2010,2953
KS,20,Kansas,2011,2972
KS,20,Kansas,2012,2703
KS,20,Kansas,2013,2854
KS,20,Kansas,2014,2848
KY,21,Kentucky,2005,5301
KY,21,Kentucky,2006,4847
KY,21,Kentucky,2007,4397
KY,21,Kentucky,2008,3822
KY,21,Kentucky,2009,3506
KY,21,Kentucky,2010,3539
KY,21,Kentucky,2011,3398
KY,21,Kentucky,2012,3293
KY,21,Kentucky,2013,3532
KY,21,Kentucky,2014,3295
LA,22,Louisiana,2005,5882
LA,22,Louisiana,2006,6110
LA,22,Louisiana,2007,5301
LA,22,Louisiana,2008,4553
LA,22,Louisiana,2009,3986
LA,22,Louisiana,2010,4108
LA,22,Louisiana,2011,4169
LA,22,Louisiana,2012,3872
LA,22,Louisiana,2013,3764
LA,22,Louisiana,2014,3864
ME,23,Maine,2005,2717
ME,23,Maine,2006,2418
ME,23,Maine,2007,2138
ME,23,Maine,2008,1660
ME,23,Maine,2009,1411
ME,23,Maine,2010,1725
ME,23,Maine,2011,1489
ME,23,Maine,2012,1442
ME,23,Maine,2013,1559
ME,23,Maine,2014,1530
MD,24,Maryland,2005,9033
MD,24,Maryland,2006,8016
MD,24,Maryland,2007,6975
MD,24,Maryland,2008,5710
MD,24,Maryland,2009,5172
MD,24,Maryland,2010,5138
MD,24,Maryland,2011,5112
MD,24,Maryland,2012,5129
MD,24,Maryland,2013,5401
MD,24,Maryland,2014,5363
MA,25,Massachusetts,2005,10449
MA,25,Massachusetts,2006,9054
MA,25,Massachusetts,2007,8226
MA,25,Massachusetts,2008,7206
MA,25,Massachusetts,2009,6743
MA,25,Massachusetts,2010,7045
MA,25,Massachusetts,2011,6866
MA,25,Massachusetts,2012,6946
MA,25,Massachusetts,2013,7045
MA,25,Massachusetts,2014,7096
MI,26,Michigan,2005,13734
MI,26,Michigan,2006,12174
MI,26,Michigan,2007,10895
MI,26,Michigan,2008,9236
MI,26,Michigan,2009,8445
MI,26,Michigan,2010,8526
MI,26,Michigan,2011,8276
MI,26,Michigan,2012,7870
MI,26,Michigan,2013,7937
MI,26,Michigan,2014,8178
MN,27,Minnesota,2005,9516
MN,27,Minnesota,2006,8049
MN,27,Minnesota,2007,7375
MN,27,Minnesota,2008,6200
MN,27,Minnesota,2009,6070
MN,27,Minnesota,2010,5522
MN,27,Minnesota,2011,5215
MN,27,Minnesota,2012,5251
MN,27,Minnesota,2013,5310
MN,27,Minnesota,2014,5495
MS,28,Mississippi,2005,3721
MS,28,Mississippi,2006,3723
MS,28,Mississippi,2007,3289
MS,28,Mississippi,2008,2600
MS,28,Mississippi,2009,2299
MS,28,Mississippi,2010,2372
MS,28,Mississippi,2011,2246
MS,28,Mississippi,2012,2164
MS,28,Mississippi,2013,2165
MS,28,Mississippi,2014,2272
MO,29,Missouri,2005,10307
MO,29,Missouri,2006,9351
MO,29,Missouri,2007,7970
MO,29,Missouri,2008,6592
MO,29,Missouri,2009,5979
MO,29,Missouri,2010,6233
MO,29,Missouri,2011,6095
MO,29,Missouri,2012,6048
MO,29,Missouri,2013,6034
MO,29,Missouri,2014,6471
MT,30,Montana,2005,2996
MT,30,Montana,2006,2770
MT,30,Montana,2007,2451
MT,30,Montana,2008,2025
MT,30,Montana,2009,1556
MT,30,Montana,2010,1582
MT,30,Montana,2011,1668
MT,30,Montana,2012,1612
MT,30,Montana,2013,1634
MT,30,Montana,2014,1715
NE,31,Nebraska,2005,3017
NE,31,Nebraska,2006,2733
NE,31,Nebraska,2007,2447
NE,31,Nebraska,2008,2202
NE,31,Nebraska,2009,2003
NE,31,Nebraska,2010,2007
NE,31,Nebraska,2011,2064
NE,31,Nebraska,2012,2080
NE,31,Nebraska,2013,2004
NE,31,Nebraska,2014,2085
NV,32,Nevada,2005,6254
NV,32,Nevada,2006,5617
NV,32,Nevada,2007,5038
NV,32,Nevada,2008,4209
NV,32,Nevada,2009,3752
NV,32,Nevada,2010,3897
NV,32,Nevada,2011,3833
NV,32,Nevada,2012,3808
NV,32,Nevada,2013,3934
NV,32,Nevada,2014,3925
NH,33,New Hampshire,2005,2358
NH,33,New Hampshire,2006,2002
NH,33,New Hampshire,2007,1907
NH,33,New Hampshire,2008,1561
NH,33,New Hampshire,2009,1444
NH,33,New Hampshire,2010,1317
NH,33,New Hampshire,2011,1366
NH,33,New Hampshire,2012,1316
NH,33,New Hampshire,2013,1238
NH,33,New Hampshire,2014,1278
NJ,34,New Jersey,2005,16250
NJ,34,New Jersey,2006,14854
NJ,34,New Jersey,2007,13113
NJ,34,New Jersey,2008,11164
NJ,34,New Jersey,2009,10469
NJ,34,New Jersey,2010,10894
NJ,34,New Jersey,2011,10725
NJ,34,New Jersey,2012,10272
NJ,34,New Jersey,2013,10550
NJ,34,New Jersey,2014,10340
NM,35,New Mexico,2005,3148
NM,35,New Mexico,2006,3037
NM,35,New Mexico,2007,2646
NM,35,New Mexico,2008,2233
NM,35,New Mexico,2009,1796
NM,35,New Mexico,2010,1802
NM,35,New Mexico,2011,1807
NM,35,New Mexico,2012,1736
NM,35,New Mexico,2013,1620
NM,35,New Mexico,2014,1750
NY,36,New York,2005,35711
NY,36,New York,2006,33575
NY,36,New York,2007,31732
NY,36,New York,2008,29220
NY,36,New York,2009,28554
NY,36,New York,2010,29345
NY,36,New York,2011,28339
NY,36,New York,2012,27000
NY,36,New York,2013,27351
NY,36,New York,2014,26544
NC,37,North Carolina,2005,15367
NC,37,North Carolina,2006,14261
NC,37,North Carolina,2007,13001
NC,37,North Carolina,2008,10453
NC,37,North Carolina,2009,9640
NC,37,North Carolina,2010,9449
NC,37,North Carolina,2011,9066
NC,37,North Carolina,2012,8823
NC,37,North Carolina,2013,9121
NC,37,North Carolina,2014,9692
ND,38,North Dakota,2005,1209
ND,38,North Dakota,2006,1095
ND,38,North Dakota,2007,1012
ND,38,North Dakota,2008,1028
ND,38,North Dakota,2009,842
ND,38,North Dakota,2010,1030
ND,38,North Dakota,2011,1407
ND,38,North Dakota,2012,1346
ND,38,North Dakota,2013,1171
ND,38,North Dakota,2014,1210
OH,39,Ohio,2005,13646
OH,39,Ohio,2006,12121
OH,39,Ohio,2007,10973
OH,39,Ohio,2008,9252
OH,39,Ohio,2009,8524
OH,39,Ohio,2010,8512
OH,39,Ohio,2011,8346
OH,39,Ohio,2012,7998
OH,39,Ohio,2013,7624
OH,39,Ohio,2014,7833
OK,40,Oklahoma,2005,6009
OK,40,Oklahoma,2006,5534
OK,40,Oklahoma,2007,5238
OK,40,Oklahoma,2008,4683
OK,40,Oklahoma,2009,3864
OK,40,Oklahoma,2010,3966
OK,40,Oklahoma,2011,4105
OK,40,Oklahoma,2012,3970
OK,40,Oklahoma,2013,3938
OK,40,Oklahoma,2014,3975
OR,41,Oregon,2005,8468
OR,41,Oregon,2006,7819
OR,41,Oregon,2007,7109
OR,41,Oregon,2008,5684
OR,41,Oregon,2009,4872
OR,41,Oregon,2010,4918
OR,41,Oregon,2011,4818
OR,41,Oregon,2012,4723
OR,41,Oregon,2013,4954
OR,41,Oregon,2014,5261
PA,42,Pennsylvania,2005,16150
PA,42,Pennsylvania,2006,14305
PA,42,Pennsylvania,2007,13606
PA,42,Pennsylvania,2008,11516
PA,42,Pennsylvania,2009,10238
PA,42,Pennsylvania,2010,10466
PA,42,Pennsylvania,2011,10337
PA,42,Pennsylvania,2012,10167
PA,42,Pennsylvania,2013,9916
PA,42,Pennsylvania,2014,10118
RI,44,Rhode Island,2005,1877
RI,44,Rhode Island,2006,1668
RI,44,Rhode Island,2007,1422
RI,44,Rhode Island,2008,1190
RI,44,Rhode Island,2009,1142
RI,44,Rhode Island,2010,1158
RI,44,Rhode Island,2011,1059
RI,44,Rhode Island,2012,1114
RI,44,Rhode Island,2013,1038
RI,44,Rhode Island,2014,1125
SC,45,South Carolina,2005,7368
SC,45,South Carolina,2006,6713
SC,45,South Carolina,2007,5992
SC,45,South Carolina,2008,4858
SC,45,South Carolina,2009,4218
SC,45,South Carolina,2010,4150
