STATE,state_fips,county_fips,COUNTY_NAME,STATE_NAME,geo_idx,full_fips
AL,01,001,Autauga County,Alabama,7,01001
AL,01,003,Baldwin County,Alabama,7,01003
AL,01,005,Barbour County,Alabama,7,01005
AL,01,007,Bibb County,Alabama,7,01007
AL,01,009,Blount County,Alabama,7,01009
AL,01,011,Bullock County,Alabama,7,01011
AL,01,013,Butler County,Alabama,7,01013
AL,01,015,Calhoun County,Alabama,7,01015
AL,01,017,Chambers County,Alabama,7,01017
AL,01,019,Cherokee County,Alabama,7,01019
AL,01,021,Chilton County,Alabama,7,01021
AL,01,023,Choctaw County,Alabama,7,01023
AL,01,025,Clarke County,Alabama,7,01025
AL,01,027,Clay County,Alabama,7,01027
AL,01,029,Cleburne County,Alabama,7,01029
AL,01,031,Coffee County,Alabama,7,01031
AL,01,033,Colbert County,Alabama,7,01033
AL,01,035,Conecuh County,Alabama,7,01035
AL,01,037,Coosa County,Alabama,7,01037
AL,01,039,Covington County,Alabama,7,01039
AL,01,041,Crenshaw County,Alabama,7,01041
AL,01,043,Cullman County,Alabama,7,01043
AL,01,045,Dale County,Alabama,7,01045
AL,01,047,Dallas County,Alabama,7,01047
AL,01,049,DeKalb County,Alabama,7,01049
AL,01,051,Elmore County,Alabama,7,01051
AL,01,053,Escambia County,Alabama,7,01053
AL,01,055,Etowah County,Alabama,7,01055
AL,01,057,Fayette County,Alabama,7,01057
AL,01,059,Franklin County,Alabama,7,01059
AL,01,061,Geneva County,Alabama,7,01061
AL,01,063,Greene County,Alabama,7,01063
AL,01,065,Hale County,Alabama,7,01065
AL,01,067,Henry County,Alabama,7,01067
AL,01,069,Houston County,Alabama,7,01069
AL,01,071,Jackson County,Alabama,7,01071
AL,01,073,Jefferson County,Alabama,7,01073
AL,01,075,Lamar County,Alabama,7,01075
AL,01,077,Lauderdale County,Alabama,7,01077
AL,01,079,Lawrence County,Alabama,7,01079
AL,01,081,Lee County,Alabama,7,01081
AL,01,083,Limestone County,Alabama,7,01083
AL,01,085,Lowndes County,Alabama,7,01085
AL,01,087,Macon County,Alabama,7,01087
AL,01,089,Madison County,Alabama,7,01089
AL,01,091,Marengo County,Alabama,7,01091
AL,01,093,Marion County,Alabama,7,01093
AL,01,095,Marshall County,Alabama,7,01095
AL,01,097,Mobile County,Alabama,7,01097
AL,01,099,Monroe County,Alabama,7,01099
AL,01,101,Montgomery County,Alabama,7,01101
AL,01,103,Morgan County,Alabama,7,01103
AL,01,105,Perry County,Alabama,7,01105
AL,01,107,Pickens County,Alabama,7,01107
AL,01,109,Pike County,Alabama,7,01109
AL,01,111,Randolph County,Alabama,7,01111
AL,01,113,Russell County,Alabama,7,01113
AL,01,115,St. Clair County,Alabama,7,01115
AL,01,117,Shelby County,Alabama,7,01117
AL,01,119,Sumter County,Alabama,7,01119
AL,01,121,Talladega County,Alabama,7,01121
AL,01,123,Tallapoosa County,Alabama,7,01123
AL,01,125,Tuscaloosa County,Alabama,7,01125
AL,01,127,Walker County,Alabama,7,01127
AL,01,129,Washington County,Alabama,7,01129
AL,01,131,Wilcox County,Alabama,7,01131
AL,01,133,Winston County,Alabama,7,01133
AK,02,013,Aleutians East Borough,Alaska,6,02013
AK,02,016,Aleutians West Census Area,Alaska,6,02016
AK,02,020,Anchorage Municipality,Alaska,6,02020
AK,02,050,Bethel Census Area,Alaska,6,02050
AK,02,060,Bristol Bay Borough,Alaska,6,02060
AK,02,063,Chugach Census Area,Alaska,6,02063
AK,02,066,Copper River Census Area,Alaska,6,02066
AK,02,068,Denali Borough,Alaska,6,02068
AK,02,070,Dillingham Census Area,Alaska,6,02070
AK,02,090,Fairbanks North Star Borough,Alaska,6,02090
AK,02,100,Haines Borough,Alaska,6,02100
AK,02,105,Hoonah-Angoon Census Area,Alaska,6,02105
AK,02,110,Juneau City and Borough,Alaska,6,02110
AK,02,122,Kenai Peninsula Borough,Alaska,6,02122
AK,02,130,Ketchikan Gateway Borough,Alaska,6,02130
AK,02,150,Kodiak Island Borough,Alaska,6,02150
AK,02,158,Kusilvak Census Area,Alaska,6,02158
AK,02,164,Lake and Peninsula Borough,Alaska,6,02164
AK,02,170,Matanuska-Susitna Borough,Alaska,6,02170
AK,02,180,Nome Census Area,Alaska,6,02180
AK,02,185,North Slope Borough,Alaska,6,02185
AK,02,188,Northwest Arctic Borough,Alaska,6,02188
AK,02,195,Petersburg Borough,Alaska,6,02195
AK,02,198,Prince of Wales-Hyder Census Area,Alaska,6,02198
AK,02,220,Sitka City and Borough,Alaska,6,02220
AK,02,230,Skagway Municipality,Alaska,6,02230
AK,02,240,Southeast Fairbanks Census Area,Alaska,6,02240
AK,02,275,Wrangell City and Borough,Alaska,6,02275
AK,02,282,Yakutat City and Borough,Alaska,6,02282
AK,02,290,Yukon-Koyukuk Census Area,Alaska,6,02290
AZ,04,001,Apache County,Arizona,9,04001
AZ,04,003,Cochise County,Arizona,9,04003
AZ,04,005,Coconino County,Arizona,9,04005
AZ,04,007,Gila County,Arizona,9,04007
AZ,04,009,Graham County,Arizona,9,04009
AZ,04,011,Greenlee County,Arizona,9,04011
AZ,04,012,La Paz County,Arizona,9,04012
AZ,04,013,Maricopa County,Arizona,9,04013
AZ,04,015,Mohave County,Arizona,9,04015
AZ,04,017,Navajo County,Arizona,9,04017
AZ,04,019,Pima County,Arizona,9,04019
AZ,04,021,Pinal County,Arizona,9,04021
AZ,04,023,Santa Cruz County,Arizona,9,04023
AZ,04,025,Yavapai County,Arizona,9,04025
AZ,04,027,Yuma County,Arizona,9,04027
AR,05,001,Arkansas County,Arkansas,8,05001
AR,05,003,Ashley County,Arkansas,8,05003
AR,05,005,Baxter County,Arkansas,8,05005
AR,05,007,Benton County,Arkansas,8,05007
AR,05,009,Boone County,Arkansas,8,05009
AR,05,011,Bradley County,Arkansas,8,05011
AR,05,013,Calhoun County,Arkansas,8,05013
AR,05,015,Carroll County,Arkansas,8,05015
AR,05,017,Chicot County,Arkansas,8,05017
AR,05,019,Clark County,Arkansas,8,05019
AR,05,021,Clay County,Arkansas,8,05021
AR,05,023,Cleburne County,Arkansas,8,05023
AR,05,025,Cleveland County,Arkansas,8,05025
AR,05,027,Columbia County,Arkansas,8,05027
AR,05,029,Conway County,Arkansas,8,05029
AR,05,031,Craighead County,Arkansas,8,05031
AR,05,033,Crawford County,Arkansas,8,05033
AR,05,035,Crittenden County,Arkansas,8,05035
AR,05,037,Cross County,Arkansas,8,05037
AR,05,039,Dallas County,Arkansas,8,05039
AR,05,041,Desha County,Arkansas,8,05041
AR,05,043,Drew County,Arkansas,8,05043
AR,05,045,Faulkner County,Arkansas,8,05045
AR,05,047,Franklin County,Arkansas,8,05047
AR,05,049,Fulton County,Arkansas,8,05049
AR,05,051,Garland County,Arkansas,8,05051
AR,05,053,Grant County,Arkansas,8,05053
AR,05,055,Greene County,Arkansas,8,05055
AR,05,057,Hempstead County,Arkansas,8,05057
AR,05,059,Hot Spring County,Arkansas,8,05059
AR,05,061,Howard County,Arkansas,8,05061
AR,05,063,Independence County,Arkansas,8,05063
AR,05,065,Izard County,Arkansas,8,05065
AR,05,067,Jackson County,Arkansas,8,05067
AR,05,069,Jefferson County,Arkansas,8,05069
AR,05,071,Johnson County,Arkansas,8,05071
AR,05,073,Lafayette County,Arkansas,8,05073
AR,05,075,Lawrence County,Arkansas,8,05075
AR,05,077,Lee County,Arkansas,8,05077
AR,05,079,Lincoln County,Arkansas,8,05079
AR,05,081,Little River County,Arkansas,8,05081
AR,05,083,Logan County,Arkansas,8,05083
AR,05,085,Lonoke County,Arkansas,8,05085
AR,05,087,Madison County,Arkansas,8,05087
AR,05,089,Marion County,Arkansas,8,05089
AR,05,091,Miller County,Arkansas,8,05091
AR,05,093,Mississippi County,Arkansas,8,05093
AR,05,095,Monroe County,Arkansas,8,05095
AR,05,097,Montgomery County,Arkansas,8,05097
AR,05,099,Nevada County,Arkansas,8,05099
AR,05,101,Newton County,Arkansas,8,05101
AR,05,103,Ouachita County,Arkansas,8,05103
AR,05,105,Perry County,Arkansas,8,05105
AR,05,107,Phillips County,Arkansas,8,05107
AR,05,109,Pike County,Arkansas,8,05109
AR,05,111,Poinsett County,Arkansas,8,05111
AR,05,113,Polk County,Arkansas,8,05113
AR,05,115,Pope County,Arkansas,8,05115
AR,05,117,Prairie County,Arkansas,8,05117
AR,05,119,Pulaski County,Arkansas,8,05119
AR,05,121,Randolph County,Arkansas,8,05121
AR,05,123,St. Francis County,Arkansas,8,05123
AR,05,125,Saline County,Arkansas,8,05125
AR,05,127,Scott County,Arkansas,8,05127
AR,05,129,Searcy County,Arkansas,8,05129
AR,05,131,Sebastian County,Arkansas,8,05131
AR,05,133,Sevier County,Arkansas,8,05133
AR,05,135,Sharp County,Arkansas,8,05135
AR,05,137,Stone County,Arkansas,8,05137
AR,05,139,Union County,Arkansas,8,05139
AR,05,141,Van Buren County,Arkansas,8,05141
AR,05,143,Washington County,Arkansas,8,05143
AR,05,145,White County,Arkansas,8,05145
AR,05,147,Woodruff County,Arkansas,8,05147
AR,05,149,Yell County,Arkansas,8,05149
CA,06,001,Alameda County,California,10,06001
CA,06,003,Alpine County,California,10,06003
CA,06,005,Amador County,California,10,06005
CA,06,007,Butte County,California,10,06007
CA,06,009,Calaveras County,California,10,06009
CA,06,011,Colusa County,California,10,06011
CA,06,013,Contra Costa County,California,10,06013
CA,06,015,Del Norte County,California,10,06015
CA,06,017,El Dorado County,California,10,06017
