Geography,Geographic Area Name,Estimate!!Gini Index,Margin of Error!!Gini Index,year
0500000US45001,"Abbeville County, South Carolina",0.448,0.016,2010
0500000US22001,"Acadia Parish, Louisiana",0.452,0.02,2010
0500000US51001,"Accomack County, Virginia",0.471,0.036,2010
0500000US16001,"Ada County, Idaho",0.435,0.006,2010
0500000US19001,"Adair County, Iowa",0.408,0.024,2010
0500000US21001,"Adair County, Kentucky",0.462,0.025,2010
0500000US29001,"Adair County, Missouri",0.479,0.019,2010
0500000US40001,"Adair County, Oklahoma",0.444,0.017,2010
0500000US08001,"Adams County, Colorado",0.403,0.006,2010
0500000US16003,"Adams County, Idaho",0.48,0.053,2010
0500000US17001,"Adams County, Illinois",0.453,0.017,2010
0500000US18001,"Adams County, Indiana",0.38,0.015,2010
0500000US19003,"Adams County, Iowa",0.458,0.041,2010
0500000US28001,"Adams County, Mississippi",0.525,0.023,2010
0500000US31001,"Adams County, Nebraska",0.44,0.022,2010
0500000US38001,"Adams County, North Dakota",0.398,0.027,2010
0500000US39001,"Adams County, Ohio",0.466,0.034,2010
0500000US42001,"Adams County, Pennsylvania",0.388,0.011,2010
0500000US53001,"Adams County, Washington",0.411,0.022,2010
0500000US55001,"Adams County, Wisconsin",0.404,0.017,2010
0500000US50001,"Addison County, Vermont",0.404,0.016,2010
0500000US72001,"Adjuntas Municipio, Puerto Rico",0.525,0.024,2010
0500000US72003,"Aguada Municipio, Puerto Rico",0.532,0.038,2010
0500000US72005,"Aguadilla Municipio, Puerto Rico",0.558,0.015,2010
0500000US72007,"Aguas Buenas Municipio, Puerto Rico",0.539,0.022,2010
0500000US72009,"Aibonito Municipio, Puerto Rico",0.531,0.036,2010
0500000US45003,"Aiken County, South Carolina",0.463,0.013,2010
0500000US27001,"Aitkin County, Minnesota",0.406,0.012,2010
0500000US12001,"Alachua County, Florida",0.516,0.01,2010
0500000US37001,"Alamance County, North Carolina",0.435,0.011,2010
0500000US06001,"Alameda County, California",0.456,0.003,2010
0500000US08003,"Alamosa County, Colorado",0.474,0.024,2010
0500000US36001,"Albany County, New York",0.449,0.008,2010
0500000US56001,"Albany County, Wyoming",0.494,0.027,2010
0500000US51003,"Albemarle County, Virginia",0.48,0.016,2010
0500000US26001,"Alcona County, Michigan",0.413,0.015,2010
0500000US28003,"Alcorn County, Mississippi",0.457,0.014,2010
0500000US02013,"Aleutians East Borough, Alaska",0.399,0.04,2010
0500000US02016,"Aleutians West Census Area, Alaska",0.381,0.029,2010
0500000US17003,"Alexander County, Illinois",0.44,0.041,2010
0500000US37003,"Alexander County, North Carolina",0.446,0.029,2010
0500000US51510,"Alexandria city, Virginia",0.458,0.012,2010
0500000US40003,"Alfalfa County, Oklahoma",0.443,0.039,2010
0500000US26003,"Alger County, Michigan",0.418,0.025,2010
0500000US19005,"Allamakee County, Iowa",0.359,0.02,2010
0500000US26005,"Allegan County, Michigan",0.402,0.012,2010
0500000US24001,"Allegany County, Maryland",0.446,0.014,2010
0500000US36003,"Allegany County, New York",0.422,0.014,2010
0500000US37005,"Alleghany County, North Carolina",0.476,0.032,2010
0500000US51005,"Alleghany County, Virginia",0.395,0.015,2010
0500000US42003,"Allegheny County, Pennsylvania",0.483,0.004,2010
0500000US18003,"Allen County, Indiana",0.428,0.008,2010
0500000US20001,"Allen County, Kansas",0.394,0.022,2010
0500000US21003,"Allen County, Kentucky",0.42,0.021,2010
0500000US39003,"Allen County, Ohio",0.432,0.01,2010
0500000US22003,"Allen Parish, Louisiana",0.434,0.015,2010
0500000US45005,"Allendale County, South Carolina",0.582,0.05,2010
0500000US26007,"Alpena County, Michigan",0.43,0.015,2010
0500000US06003,"Alpine County, California",0.449,0.075,2010
0500000US06005,"Amador County, California",0.399,0.018,2010
0500000US51007,"Amelia County, Virginia",0.404,0.025,2010
0500000US51009,"Amherst County, Virginia",0.397,0.016,2010
0500000US28005,"Amite County, Mississippi",0.5,0.03,2010
0500000US02020,"Anchorage Municipality, Alaska",0.416,0.009,2010
0500000US20003,"Anderson County, Kansas",0.402,0.034,2010
0500000US21005,"Anderson County, Kentucky",0.376,0.027,2010
0500000US45007,"Anderson County, South Carolina",0.449,0.013,2010
0500000US47001,"Anderson County, Tennessee",0.453,0.015,2010
0500000US48001,"Anderson County, Texas",0.465,0.024,2010
0500000US29003,"Andrew County, Missouri",0.396,0.023,2010
0500000US48003,"Andrews County, Texas",0.531,0.085,2010
0500000US23001,"Androscoggin County, Maine",0.414,0.01,2010
0500000US48005,"Angelina County, Texas",0.452,0.018,2010
0500000US24003,"Anne Arundel County, Maryland",0.406,0.006,2010
0500000US27003,"Anoka County, Minnesota",0.371,0.007,2010
0500000US37007,"Anson County, North Carolina",0.442,0.043,2010
0500000US31003,"Antelope County, Nebraska",0.424,0.028,2010
0500000US26009,"Antrim County, Michigan",0.441,0.025,2010
0500000US04001,"Apache County, Arizona",0.488,0.016,2010
0500000US19007,"Appanoose County, Iowa",0.451,0.033,2010
0500000US13001,"Appling County, Georgia",0.422,0.02,2010
0500000US51011,"Appomattox County, Virginia",0.39,0.023,2010
0500000US48007,"Aransas County, Texas",0.47,0.026,2010
0500000US08005,"Arapahoe County, Colorado",0.463,0.006,2010
0500000US48009,"Archer County, Texas",0.409,0.023,2010
0500000US08007,"Archuleta County, Colorado",0.485,0.069,2010
0500000US72013,"Arecibo Municipio, Puerto Rico",0.525,0.017,2010
0500000US26011,"Arenac County, Michigan",0.414,0.015,2010
0500000US05001,"Arkansas County, Arkansas",0.467,0.033,2010
0500000US51013,"Arlington County, Virginia",0.429,0.008,2010
0500000US42005,"Armstrong County, Pennsylvania",0.404,0.011,2010
0500000US48011,"Armstrong County, Texas",0.375,0.045,2010
0500000US23003,"Aroostook County, Maine",0.425,0.009,2010
0500000US72015,"Arroyo Municipio, Puerto Rico",0.526,0.033,2010
0500000US31005,"Arthur County, Nebraska",0.341,0.049,2010
0500000US22005,"Ascension Parish, Louisiana",0.409,0.014,2010
0500000US37009,"Ashe County, North Carolina",0.447,0.02,2010
0500000US39005,"Ashland County, Ohio",0.405,0.015,2010
0500000US55003,"Ashland County, Wisconsin",0.416,0.019,2010
0500000US05003,"Ashley County, Arkansas",0.447,0.017,2010
0500000US39007,"Ashtabula County, Ohio",0.412,0.01,2010
0500000US53003,"Asotin County, Washington",0.436,0.034,2010
0500000US22007,"Assumption Parish, Louisiana",0.419,0.022,2010
0500000US48013,"Atascosa County, Texas",0.429,0.02,2010
0500000US20005,"Atchison County, Kansas",0.434,0.034,2010
0500000US29005,"Atchison County, Missouri",0.44,0.038,2010
0500000US39009,"Athens County, Ohio",0.492,0.012,2010
0500000US13003,"Atkinson County, Georgia",0.447,0.036,2010
0500000US34001,"Atlantic County, New Jersey",0.445,0.011,2010
0500000US40005,"Atoka County, Oklahoma",0.471,0.056,2010
0500000US28007,"Attala County, Mississippi",0.495,0.023,2010
0500000US29007,"Audrain County, Missouri",0.398,0.022,2010
0500000US19009,"Audubon County, Iowa",0.428,0.025,2010
0500000US39011,"Auglaize County, Ohio",0.405,0.038,2010
0500000US51015,"Augusta County, Virginia",0.395,0.014,2010
0500000US46003,"Aurora County, South Dakota",0.405,0.03,2010
0500000US48015,"Austin County, Texas",0.452,0.023,2010
0500000US01001,"Autauga County, Alabama",0.405,0.016,2010
0500000US37011,"Avery County, North Carolina",0.529,0.069,2010
0500000US22009,"Avoyelles Parish, Louisiana",0.458,0.018,2010
0500000US72011,"Añasco Municipio, Puerto Rico",0.484,0.021,2010
0500000US08009,"Baca County, Colorado",0.468,0.047,2010
0500000US13005,"Bacon County, Georgia",0.46,0.03,2010
0500000US48017,"Bailey County, Texas",0.427,0.06,2010
0500000US12003,"Baker County, Florida",0.429,0.042,2010
0500000US13007,"Baker County, Georgia",0.511,0.062,2010
0500000US41001,"Baker County, Oregon",0.45,0.022,2010
0500000US01003,"Baldwin County, Alabama",0.439,0.01,2010
0500000US13009,"Baldwin County, Georgia",0.457,0.016,2010
0500000US21007,"Ballard County, Kentucky",0.448,0.036,2010
0500000US24005,"Baltimore County, Maryland",0.438,0.005,2010
0500000US24510,"Baltimore city, Maryland",0.495,0.006,2010
0500000US45009,"Bamberg County, South Carolina",0.482,0.043,2010
0500000US48019,"Bandera County, Texas",0.452,0.029,2010
0500000US13011,"Banks County, Georgia",0.437,0.022,2010
0500000US31007,"Banner County, Nebraska",0.496,0.074,2010
0500000US16005,"Bannock County, Idaho",0.429,0.014,2010
0500000US26013,"Baraga County, Michigan",0.409,0.032,2010
0500000US20007,"Barber County, Kansas",0.424,0.028,2010
0500000US01005,"Barbour County, Alabama",0.464,0.025,2010
0500000US54001,"Barbour County, West Virginia",0.452,0.044,2010
0500000US72017,"Barceloneta Municipio, Puerto Rico",0.523,0.042,2010
0500000US38003,"Barnes County, North Dakota",0.458,0.041,2010
0500000US25001,"Barnstable County, Massachusetts",0.443,0.009,2010
0500000US45011,"Barnwell County, South Carolina",0.466,0.031,2010
0500000US72019,"Barranquitas Municipio, Puerto Rico",0.495,0.022,2010
0500000US21009,"Barren County, Kentucky",0.455,0.02,2010
0500000US55005,"Barron County, Wisconsin",0.425,0.015,2010
0500000US13013,"Barrow County, Georgia",0.398,0.016,2010
0500000US26015,"Barry County, Michigan",0.392,0.016,2010
0500000US29009,"Barry County, Missouri",0.431,0.025,2010
0500000US18005,"Bartholomew County, Indiana",0.427,0.017,2010
0500000US20009,"Barton County, Kansas",0.434,0.035,2010
0500000US29011,"Barton County, Missouri",0.405,0.026,2010
0500000US13015,"Bartow County, Georgia",0.429,0.016,2010
0500000US48021,"Bastrop County, Texas",0.407,0.019,2010
0500000US29013,"Bates County, Missouri",0.406,0.013,2010
0500000US21011,"Bath County, Kentucky",0.461,0.028,2010
0500000US51017,"Bath County, Virginia",0.326,0.044,2010
0500000US05005,"Baxter County, Arkansas",0.42,0.021,2010
0500000US12005,"Bay County, Florida",0.416,0.011,2010
0500000US26017,"Bay County, Michigan",0.42,0.013,2010
0500000US72021,"Bayamón Municipio, Puerto Rico",0.47,0.006,2010
0500000US55007,"Bayfield County, Wisconsin",0.406,0.011,2010
0500000US48023,"Baylor County, Texas",0.515,0.063,2010
0500000US46005,"Beadle County, South Dakota",0.424,0.03,2010
0500000US16007,"Bear Lake County, Idaho",0.381,0.026,2010
0500000US37013,"Beaufort County, North Carolina",0.463,0.028,2010
0500000US45013,"Beaufort County, South Carolina",0.471,0.011,2010
0500000US22011,"Beauregard Parish, Louisiana",0.424,0.014,2010
0500000US40007,"Beaver County, Oklahoma",0.411,0.024,2010
0500000US42007,"Beaver County, Pennsylvania",0.418,0.008,2010
0500000US49001,"Beaver County, Utah",0.4,0.028,2010
0500000US30001,"Beaverhead County, Montana",0.434,0.03,2010
0500000US27005,"Becker County, Minnesota",0.43,0.011,2010
0500000US40009,"Beckham County, Oklahoma",0.434,0.021,2010
0500000US42009,"Bedford County, Pennsylvania",0.408,0.013,2010
0500000US47003,"Bedford County, Tennessee",0.457,0.022,2010
0500000US51019,"Bedford County, Virginia",0.425,0.015,2010
0500000US51515,"Bedford city, Virginia",0.459,0.041,2010
0500000US48025,"Bee County, Texas",0.476,0.028,2010
0500000US33001,"Belknap County, New Hampshire",0.415,0.012,2010
0500000US21013,"Bell County, Kentucky",0.49,0.038,2010
0500000US48027,"Bell County, Texas",0.424,0.008,2010
0500000US39013,"Belmont County, Ohio",0.416,0.012,2010
0500000US27007,"Beltrami County, Minnesota",0.429,0.013,2010
0500000US13017,"Ben Hill County, Georgia",0.466,0.031,2010
0500000US16009,"Benewah County, Idaho",0.374,0.021,2010
0500000US46007,"Bennett County, South Dakota",0.494,0.061,2010
0500000US50003,"Bennington County, Vermont",0.457,0.021,2010
0500000US38005,"Benson County, North Dakota",0.473,0.033,2010
0500000US08011,"Bent County, Colorado",0.412,0.035,2010
0500000US05007,"Benton County, Arkansas",0.438,0.01,2010
0500000US18007,"Benton County, Indiana",0.364,0.023,2010
0500000US19011,"Benton County, Iowa",0.378,0.017,2010
0500000US27009,"Benton County, Minnesota",0.39,0.014,2010
0500000US28009,"Benton County, Mississippi",0.457,0.04,2010
0500000US29015,"Benton County, Missouri",0.44,0.031,2010
0500000US41003,"Benton County, Oregon",0.472,0.013,2010
0500000US47005,"Benton County, Tennessee",0.426,0.018,2010
0500000US53005,"Benton County, Washington",0.415,0.008,2010
0500000US26019,"Benzie County, Michigan",0.406,0.021,2010
0500000US34003,"Bergen County, New Jersey",0.468,0.005,2010
0500000US45015,"Berkeley County, South Carolina",0.405,0.012,2010
0500000US54003,"Berkeley County, West Virginia",0.409,0.016,2010
0500000US42011,"Berks County, Pennsylvania",0.421,0.008,2010
0500000US25003,"Berkshire County, Massachusetts",0.462,0.012,2010
0500000US35001,"Bernalillo County, New Mexico",0.453,0.005,2010
0500000US13019,"Berrien County, Georgia",0.43,0.021,2010
0500000US26021,"Berrien County, Michigan",0.467,0.011,2010
0500000US37015,"Bertie County, North Carolina",0.48,0.032,2010
0500000US02050,"Bethel Census Area, Alaska",0.446,0.019,2010
0500000US48029,"Bexar County, Texas",0.463,0.004,2010
0500000US01007,"Bibb County, Alabama",0.411,0.023,2010
0500000US13021,"Bibb County, Georgia",0.495,0.012,2010
0500000US22013,"Bienville Parish, Louisiana",0.501,0.021,2010
0500000US30003,"Big Horn County, Montana",0.432,0.026,2010
0500000US56003,"Big Horn County, Wyoming",0.426,0.038,2010
0500000US27011,"Big Stone County, Minnesota",0.42,0.021,2010
0500000US38007,"Billings County, North Dakota",0.438,0.071,2010
0500000US16011,"Bingham County, Idaho",0.429,0.035,2010
0500000US19013,"Black Hawk County, Iowa",0.438,0.01,2010
0500000US18009,"Blackford County, Indiana",0.424,0.033,2010
0500000US37017,"Bladen County, North Carolina",0.48,0.023,2010
0500000US16013,"Blaine County, Idaho",0.431,0.032,2010
0500000US30005,"Blaine County, Montana",0.424,0.027,2010
0500000US31009,"Blaine County, Nebraska",0.337,0.055,2010
0500000US40011,"Blaine County, Oklahoma",0.451,0.03,2010
0500000US42013,"Blair County, Pennsylvania",0.443,0.017,2010
0500000US48031,"Blanco County, Texas",0.44,0.027,2010
0500000US51021,"Bland County, Virginia",0.39,0.037,2010
0500000US13023,"Bleckley County, Georgia",0.491,0.053,2010
0500000US47007,"Bledsoe County, Tennessee",0.393,0.029,2010
0500000US01009,"Blount County, Alabama",0.422,0.017,2010
0500000US47009,"Blount County, Tennessee",0.429,0.013,2010
0500000US27013,"Blue Earth County, Minnesota",0.429,0.015,2010
0500000US16015,"Boise County, Idaho",0.403,0.037,2010
0500000US28011,"Bolivar County, Mississippi",0.527,0.025,2010
0500000US29017,"Bollinger County, Missouri",0.442,0.026,2010
0500000US46009,"Bon Homme County, South Dakota",0.426,0.03,2010
0500000US17005,"Bond County, Illinois",0.414,0.017,2010
0500000US16017,"Bonner County, Idaho",0.439,0.019,2010
0500000US16019,"Bonneville County, Idaho",0.424,0.011,2010
0500000US05009,"Boone County, Arkansas",0.451,0.034,2010
0500000US17007,"Boone County, Illinois",0.423,0.018,2010
0500000US18011,"Boone County, Indiana",0.514,0.066,2010
0500000US19015,"Boone County, Iowa",0.407,0.024,2010
0500000US21015,"Boone County, Kentucky",0.394,0.013,2010
0500000US29019,"Boone County, Missouri",0.466,0.01,2010
0500000US31011,"Boone County, Nebraska",0.429,0.054,2010
0500000US54005,"Boone County, West Virginia",0.44,0.018,2010
0500000US48033,"Borden County, Texas",0.502,0.065,2010
0500000US48035,"Bosque County, Texas",0.421,0.026,2010
0500000US22015,"Bossier Parish, Louisiana",0.438,0.014,2010
0500000US51023,"Botetourt County, Virginia",0.395,0.019,2010
0500000US38009,"Bottineau County, North Dakota",0.472,0.028,2010
0500000US08013,"Boulder County, Colorado",0.483,0.009,2010
0500000US16021,"Boundary County, Idaho",0.426,0.075,2010
0500000US20011,"Bourbon County, Kansas",0.417,0.022,2010
0500000US21017,"Bourbon County, Kentucky",0.433,0.019,2010
0500000US48037,"Bowie County, Texas",0.469,0.016,2010
0500000US38011,"Bowman County, North Dakota",0.444,0.047,2010
0500000US31013,"Box Butte County, Nebraska",0.407,0.02,2010
0500000US49003,"Box Elder County, Utah",0.352,0.011,2010
0500000US21019,"Boyd County, Kentucky",0.472,0.019,2010
0500000US31015,"Boyd County, Nebraska",0.391,0.039,2010
0500000US21021,"Boyle County, Kentucky",0.479,0.026,2010
0500000US21023,"Bracken County, Kentucky",0.424,0.033,2010
0500000US12007,"Bradford County, Florida",0.42,0.027,2010
0500000US42015,"Bradford County, Pennsylvania",0.421,0.01,2010
0500000US05011,"Bradley County, Arkansas",0.478,0.035,2010
0500000US47011,"Bradley County, Tennessee",0.459,0.019,2010
0500000US26023,"Branch County, Michigan",0.409,0.012,2010
0500000US13025,"Brantley County, Georgia",0.433,0.024,2010
0500000US54007,"Braxton County, West Virginia",0.432,0.02,2010
0500000US48039,"Brazoria County, Texas",0.416,0.008,2010
0500000US48041,"Brazos County, Texas",0.529,0.012,2010
0500000US21025,"Breathitt County, Kentucky",0.548,0.059,2010
0500000US21027,"Breckinridge County, Kentucky",0.419,0.02,2010
0500000US19017,"Bremer County, Iowa",0.402,0.028,2010
0500000US12009,"Brevard County, Florida",0.442,0.006,2010
0500000US48043,"Brewster County, Texas",0.49,0.041,2010
0500000US48045,"Briscoe County, Texas",0.392,0.039,2010
0500000US02060,"Bristol Bay Borough, Alaska",0.343,0.033,2010
0500000US25005,"Bristol County, Massachusetts",0.442,0.005,2010
0500000US44001,"Bristol County, Rhode Island",0.473,0.017,2010
0500000US51520,"Bristol city, Virginia",0.472,0.041,2010
0500000US30007,"Broadwater County, Montana",0.363,0.031,2010
0500000US36005,"Bronx County, New York",0.482,0.004,2010
0500000US54009,"Brooke County, West Virginia",0.426,0.037,2010
0500000US46011,"Brookings County, South Dakota",0.425,0.016,2010
0500000US13027,"Brooks County, Georgia",0.437,0.032,2010
0500000US48047,"Brooks County, Texas",0.512,0.025,2010
0500000US36007,"Broome County, New York",0.452,0.009,2010
0500000US08014,"Broomfield County, Colorado",0.403,0.017,2010
0500000US12011,"Broward County, Florida",0.469,0.005,2010
0500000US17009,"Brown County, Illinois",0.469,0.084,2010
0500000US18013,"Brown County, Indiana",0.418,0.025,2010
0500000US20013,"Brown County, Kansas",0.433,0.021,2010
0500000US27015,"Brown County, Minnesota",0.406,0.023,2010
0500000US31017,"Brown County, Nebraska",0.443,0.03,2010
0500000US39015,"Brown County, Ohio",0.389,0.016,2010
0500000US46013,"Brown County, South Dakota",0.422,0.019,2010
0500000US48049,"Brown County, Texas",0.476,0.03,2010
0500000US55009,"Brown County, Wisconsin",0.429,0.009,2010
0500000US46015,"Brule County, South Dakota",0.342,0.043,2010
0500000US37019,"Brunswick County, North Carolina",0.438,0.011,2010
0500000US51025,"Brunswick County, Virginia",0.406,0.025,2010
0500000US13029,"Bryan County, Georgia",0.422,0.033,2010
0500000US40013,"Bryan County, Oklahoma",0.437,0.016,2010
0500000US19019,"Buchanan County, Iowa",0.379,0.02,2010
0500000US29021,"Buchanan County, Missouri",0.433,0.015,2010
0500000US51027,"Buchanan County, Virginia",0.454,0.021,2010
0500000US51029,"Buckingham County, Virginia",0.418,0.031,2010
0500000US42017,"Bucks County, Pennsylvania",0.425,0.006,2010
0500000US19021,"Buena Vista County, Iowa",0.414,0.022,2010
0500000US51530,"Buena Vista city, Virginia",0.398,0.028,2010
0500000US31019,"Buffalo County, Nebraska",0.42,0.017,2010
0500000US46017,"Buffalo County, South Dakota",0.494,0.074,2010
0500000US55011,"Buffalo County, Wisconsin",0.385,0.012,2010
0500000US21029,"Bullitt County, Kentucky",0.378,0.013,2010
0500000US13031,"Bulloch County, Georgia",0.478,0.015,2010
0500000US01011,"Bullock County, Alabama",0.533,0.045,2010
0500000US37021,"Buncombe County, North Carolina",0.457,0.01,2010
0500000US17011,"Bureau County, Illinois",0.423,0.028,2010
0500000US13033,"Burke County, Georgia",0.451,0.027,2010
0500000US37023,"Burke County, North Carolina",0.434,0.013,2010
0500000US38013,"Burke County, North Dakota",0.461,0.037,2010
0500000US38015,"Burleigh County, North Dakota",0.436,0.018,2010
0500000US48051,"Burleson County, Texas",0.409,0.02,2010
0500000US34005,"Burlington County, New Jersey",0.405,0.005,2010
0500000US48053,"Burnet County, Texas",0.442,0.023,2010
0500000US55013,"Burnett County, Wisconsin",0.435,0.017,2010
0500000US31021,"Burt County, Nebraska",0.414,0.027,2010
0500000US01013,"Butler County, Alabama",0.463,0.019,2010
0500000US19023,"Butler County, Iowa",0.399,0.021,2010
0500000US20015,"Butler County, Kansas",0.418,0.015,2010
0500000US21031,"Butler County, Kentucky",0.437,0.027,2010
0500000US29023,"Butler County, Missouri",0.453,0.019,2010
0500000US31023,"Butler County, Nebraska",0.357,0.017,2010
0500000US39017,"Butler County, Ohio",0.427,0.007,2010
0500000US42019,"Butler County, Pennsylvania",0.425,0.007,2010
0500000US06007,"Butte County, California",0.449,0.008,2010
0500000US16023,"Butte County, Idaho",0.416,0.033,2010
0500000US46019,"Butte County, South Dakota",0.4,0.032,2010
0500000US13035,"Butts County, Georgia",0.391,0.029,2010
0500000US37025,"Cabarrus County, North Carolina",0.432,0.012,2010
0500000US54011,"Cabell County, West Virginia",0.481,0.012,2010
0500000US72023,"Cabo Rojo Municipio, Puerto Rico",0.545,0.04,2010
0500000US49005,"Cache County, Utah",0.423,0.016,2010
0500000US40015,"Caddo County, Oklahoma",0.419,0.014,2010
0500000US22017,"Caddo Parish, Louisiana",0.502,0.01,2010
0500000US72025,"Caguas Municipio, Puerto Rico",0.512,0.015,2010
0500000US06009,"Calaveras County, California",0.412,0.018,2010
