,STATE,state_fips,STATE_NAME,geo_idx,sa,series,year,Q1,Q2,Q3,Q4,state_formations
0,AL,1,Alabama,7,U,BF_BF8Q,2005,1851,1664,1474,1503,6492
1,AL,1,Alabama,7,U,BF_BF8Q,2006,1749,1559,1437,1302,6047
2,AL,1,Alabama,7,U,BF_BF8Q,2007,1655,1414,1297,1155,5521
3,AL,1,Alabama,7,U,BF_BF8Q,2008,1279,1171,1051,898,4399
4,AL,1,Alabama,7,U,BF_BF8Q,2009,1113,952,943,858,3866
5,AL,1,Alabama,7,U,BF_BF8Q,2010,1098,994,948,872,3912
6,AL,1,Alabama,7,U,BF_BF8Q,2011,1034,918,925,847,3724
7,AL,1,Alabama,7,U,BF_BF8Q,2012,1018,949,818,806,3591
8,AL,1,Alabama,7,U,BF_BF8Q,2013,958,880,836,816,3490
9,AL,1,Alabama,7,U,BF_BF8Q,2014,922,938,956,851,3667
10,AK,2,Alaska,6,U,BF_BF8Q,2005,389,429,291,326,1435
11,AK,2,Alaska,6,U,BF_BF8Q,2006,360,375,309,256,1300
12,AK,2,Alaska,6,U,BF_BF8Q,2007,330,332,258,266,1186
13,AK,2,Alaska,6,U,BF_BF8Q,2008,307,300,232,210,1049
14,AK,2,Alaska,6,U,BF_BF8Q,2009,271,247,215,179,912
15,AK,2,Alaska,6,U,BF_BF8Q,2010,224,246,195,197,862
16,AK,2,Alaska,6,U,BF_BF8Q,2011,282,255,202,194,933
17,AK,2,Alaska,6,U,BF_BF8Q,2012,255,260,196,209,920
18,AK,2,Alaska,6,U,BF_BF8Q,2013,257,244,184,184,869
19,AK,2,Alaska,6,U,BF_BF8Q,2014,256,243,189,212,900
20,AZ,4,Arizona,9,U,BF_BF8Q,2005,3020,3180,2991,3107,12298
21,AZ,4,Arizona,9,U,BF_BF8Q,2006,3228,2936,2709,2585,11458
22,AZ,4,Arizona,9,U,BF_BF8Q,2007,2811,2661,2238,2179,9889
23,AZ,4,Arizona,9,U,BF_BF8Q,2008,2125,1934,1765,1697,7521
24,AZ,4,Arizona,9,U,BF_BF8Q,2009,1755,1702,1630,1519,6606
25,AZ,4,Arizona,9,U,BF_BF8Q,2010,1777,1680,1609,1574,6640
26,AZ,4,Arizona,9,U,BF_BF8Q,2011,1773,1566,1600,1398,6337
27,AZ,4,Arizona,9,U,BF_BF8Q,2012,1633,1494,1387,1504,6018
28,AZ,4,Arizona,9,U,BF_BF8Q,2013,1646,1532,1485,1452,6115
29,AZ,4,Arizona,9,U,BF_BF8Q,2014,1684,1645,1426,1553,6308
30,AR,5,Arkansas,8,U,BF_BF8Q,2005,1227,1151,1059,866,4303
31,AR,5,Arkansas,8,U,BF_BF8Q,2006,1223,1052,902,820,3997
32,AR,5,Arkansas,8,U,BF_BF8Q,2007,1066,965,891,800,3722
33,AR,5,Arkansas,8,U,BF_BF8Q,2008,854,781,764,658,3057
34,AR,5,Arkansas,8,U,BF_BF8Q,2009,785,673,668,608,2734
