per_idx,cat_idx,dt_idx,geo_idx,is_adj,state_apps,STATE,state_fips,STATE_NAME,year
13,1,1,7,1,2497.0,AL,1,Alabama,2005
14,1,1,7,1,2571.0,AL,1,Alabama,2005
15,1,1,7,1,2494.0,AL,1,Alabama,2005
16,1,1,7,1,2610.0,AL,1,Alabama,2005
17,1,1,7,1,2449.0,AL,1,Alabama,2005
18,1,1,7,1,2614.0,AL,1,Alabama,2005
19,1,1,7,1,2542.0,AL,1,Alabama,2005
20,1,1,7,1,2673.0,AL,1,Alabama,2005
21,1,1,7,1,1969.0,AL,1,Alabama,2005
22,1,1,7,1,2986.0,AL,1,Alabama,2005
23,1,1,7,1,2952.0,AL,1,Alabama,2005
24,1,1,7,1,3034.0,AL,1,Alabama,2005
25,1,1,7,1,2815.0,AL,1,Alabama,2006
26,1,1,7,1,2863.0,AL,1,Alabama,2006
27,1,1,7,1,2911.0,AL,1,Alabama,2006
28,1,1,7,1,2802.0,AL,1,Alabama,2006
29,1,1,7,1,2883.0,AL,1,Alabama,2006
30,1,1,7,1,2782.0,AL,1,Alabama,2006
31,1,1,7,1,2919.0,AL,1,Alabama,2006
32,1,1,7,1,2863.0,AL,1,Alabama,2006
33,1,1,7,1,2652.0,AL,1,Alabama,2006
34,1,1,7,1,2583.0,AL,1,Alabama,2006
35,1,1,7,1,2519.0,AL,1,Alabama,2006
36,1,1,7,1,3262.0,AL,1,Alabama,2006
37,1,1,7,1,2585.0,AL,1,Alabama,2007
38,1,1,7,1,2878.0,AL,1,Alabama,2007
39,1,1,7,1,2873.0,AL,1,Alabama,2007
40,1,1,7,1,2686.0,AL,1,Alabama,2007
41,1,1,7,1,2873.0,AL,1,Alabama,2007
42,1,1,7,1,2831.0,AL,1,Alabama,2007
43,1,1,7,1,2869.0,AL,1,Alabama,2007
44,1,1,7,1,2757.0,AL,1,Alabama,2007
45,1,1,7,1,2875.0,AL,1,Alabama,2007
46,1,1,7,1,2902.0,AL,1,Alabama,2007
47,1,1,7,1,2606.0,AL,1,Alabama,2007
48,1,1,7,1,3129.0,AL,1,Alabama,2007
49,1,1,7,1,2702.0,AL,1,Alabama,2008
50,1,1,7,1,2580.0,AL,1,Alabama,2008
51,1,1,7,1,2708.0,AL,1,Alabama,2008
52,1,1,7,1,2838.0,AL,1,Alabama,2008
53,1,1,7,1,2778.0,AL,1,Alabama,2008
54,1,1,7,1,2612.0,AL,1,Alabama,2008
55,1,1,7,1,2606.0,AL,1,Alabama,2008
56,1,1,7,1,2744.0,AL,1,Alabama,2008
57,1,1,7,1,2731.0,AL,1,Alabama,2008
58,1,1,7,1,2534.0,AL,1,Alabama,2008
59,1,1,7,1,2532.0,AL,1,Alabama,2008
60,1,1,7,1,2374.0,AL,1,Alabama,2008
61,1,1,7,1,2712.0,AL,1,Alabama,2009
62,1,1,7,1,2371.0,AL,1,Alabama,2009
63,1,1,7,1,2409.0,AL,1,Alabama,2009
64,1,1,7,1,2455.0,AL,1,Alabama,2009
65,1,1,7,1,2395.0,AL,1,Alabama,2009
66,1,1,7,1,2464.0,AL,1,Alabama,2009
67,1,1,7,1,2437.0,AL,1,Alabama,2009
68,1,1,7,1,2432.0,AL,1,Alabama,2009
69,1,1,7,1,2433.0,AL,1,Alabama,2009
70,1,1,7,1,2461.0,AL,1,Alabama,2009
71,1,1,7,1,2489.0,AL,1,Alabama,2009
72,1,1,7,1,2444.0,AL,1,Alabama,2009
73,1,1,7,1,2554.0,AL,1,Alabama,2010
74,1,1,7,1,2420.0,AL,1,Alabama,2010
75,1,1,7,1,2537.0,AL,1,Alabama,2010
76,1,1,7,1,2499.0,AL,1,Alabama,2010
77,1,1,7,1,2467.0,AL,1,Alabama,2010
78,1,1,7,1,2478.0,AL,1,Alabama,2010
79,1,1,7,1,2484.0,AL,1,Alabama,2010
80,1,1,7,1,2361.0,AL,1,Alabama,2010
81,1,1,7,1,2514.0,AL,1,Alabama,2010
82,1,1,7,1,2619.0,AL,1,Alabama,2010
83,1,1,7,1,2698.0,AL,1,Alabama,2010
84,1,1,7,1,2571.0,AL,1,Alabama,2010
85,1,1,7,1,2541.0,AL,1,Alabama,2011
86,1,1,7,1,2577.0,AL,1,Alabama,2011
87,1,1,7,1,2333.0,AL,1,Alabama,2011
88,1,1,7,1,2383.0,AL,1,Alabama,2011
89,1,1,7,1,1890.0,AL,1,Alabama,2011
90,1,1,7,1,2525.0,AL,1,Alabama,2011
91,1,1,7,1,2530.0,AL,1,Alabama,2011
92,1,1,7,1,2468.0,AL,1,Alabama,2011
93,1,1,7,1,2525.0,AL,1,Alabama,2011
94,1,1,7,1,2286.0,AL,1,Alabama,2011
95,1,1,7,1,2513.0,AL,1,Alabama,2011
96,1,1,7,1,2714.0,AL,1,Alabama,2011
97,1,1,7,1,2535.0,AL,1,Alabama,2012
98,1,1,7,1,2506.0,AL,1,Alabama,2012
99,1,1,7,1,2550.0,AL,1,Alabama,2012
100,1,1,7,1,2505.0,AL,1,Alabama,2012
101,1,1,7,1,2633.0,AL,1,Alabama,2012
102,1,1,7,1,2379.0,AL,1,Alabama,2012
103,1,1,7,1,2485.0,AL,1,Alabama,2012
104,1,1,7,1,2458.0,AL,1,Alabama,2012
105,1,1,7,1,2223.0,AL,1,Alabama,2012
106,1,1,7,1,2304.0,AL,1,Alabama,2012
107,1,1,7,1,2240.0,AL,1,Alabama,2012
108,1,1,7,1,3149.0,AL,1,Alabama,2012
109,1,1,7,1,2687.0,AL,1,Alabama,2013
110,1,1,7,1,2440.0,AL,1,Alabama,2013
111,1,1,7,1,2412.0,AL,1,Alabama,2013
112,1,1,7,1,2389.0,AL,1,Alabama,2013
113,1,1,7,1,2149.0,AL,1,Alabama,2013
114,1,1,7,1,2477.0,AL,1,Alabama,2013
115,1,1,7,1,2329.0,AL,1,Alabama,2013
116,1,1,7,1,2446.0,AL,1,Alabama,2013
117,1,1,7,1,2535.0,AL,1,Alabama,2013
118,1,1,7,1,2540.0,AL,1,Alabama,2013
119,1,1,7,1,2530.0,AL,1,Alabama,2013
120,1,1,7,1,2593.0,AL,1,Alabama,2013
121,1,1,7,1,2379.0,AL,1,Alabama,2014
122,1,1,7,1,2528.0,AL,1,Alabama,2014
123,1,1,7,1,2538.0,AL,1,Alabama,2014
124,1,1,7,1,2500.0,AL,1,Alabama,2014
125,1,1,7,1,2398.0,AL,1,Alabama,2014
126,1,1,7,1,2453.0,AL,1,Alabama,2014
