per_idx,state_formations,STATE,state_fips,STATE_NAME,year,year_state_missing_count
133,,AK,2,Alaska,2015,8
134,,AK,2,Alaska,2015,8
135,,AK,2,Alaska,2015,8
136,,AK,2,Alaska,2015,8
137,,AK,2,Alaska,2015,8
138,,AK,2,Alaska,2015,8
139,,AK,2,Alaska,2015,8
140,,AK,2,Alaska,2015,8
141,,AK,2,Alaska,2015,8
142,,AK,2,Alaska,2015,8
143,,AK,2,Alaska,2015,8
144,,AK,2,Alaska,2015,8
145,,AK,2,Alaska,2016,7
146,,AK,2,Alaska,2016,7
147,,AK,2,Alaska,2016,7
148,,AK,2,Alaska,2016,7
149,,AK,2,Alaska,2016,7
150,,AK,2,Alaska,2016,7
151,,AK,2,Alaska,2016,7
152,,AK,2,Alaska,2016,7
153,,AK,2,Alaska,2016,7
154,,AK,2,Alaska,2016,7
155,,AK,2,Alaska,2016,7
156,,AK,2,Alaska,2016,7
157,,AK,2,Alaska,2017,6
158,,AK,2,Alaska,2017,6
159,,AK,2,Alaska,2017,6
160,,AK,2,Alaska,2017,6
161,,AK,2,Alaska,2017,6
162,,AK,2,Alaska,2017,6
163,,AK,2,Alaska,2017,6
164,,AK,2,Alaska,2017,6
165,,AK,2,Alaska,2017,6
166,,AK,2,Alaska,2017,6
167,,AK,2,Alaska,2017,6
168,,AK,2,Alaska,2017,6
169,,AK,2,Alaska,2018,4
170,,AK,2,Alaska,2018,4
171,,AK,2,Alaska,2018,4
172,,AK,2,Alaska,2018,4
173,,AK,2,Alaska,2018,4
174,,AK,2,Alaska,2018,4
175,,AK,2,Alaska,2018,4
176,,AK,2,Alaska,2018,4
177,,AK,2,Alaska,2018,4
178,,AK,2,Alaska,2018,4
179,,AK,2,Alaska,2018,4
180,,AK,2,Alaska,2018,4
181,,AK,2,Alaska,2019,4
182,,AK,2,Alaska,2019,4
183,,AK,2,Alaska,2019,4
184,,AK,2,Alaska,2019,4
185,,AK,2,Alaska,2019,4
186,,AK,2,Alaska,2019,4
187,,AK,2,Alaska,2019,4
188,,AK,2,Alaska,2019,4
189,,AK,2,Alaska,2019,4
190,,AK,2,Alaska,2019,4
191,,AK,2,Alaska,2019,4
192,,AK,2,Alaska,2019,4
193,97.0,AK,2,Alaska,2020,2
194,82.0,AK,2,Alaska,2020,2
195,73.0,AK,2,Alaska,2020,2
196,61.0,AK,2,Alaska,2020,2
197,76.0,AK,2,Alaska,2020,2
198,73.0,AK,2,Alaska,2020,2
199,76.0,AK,2,Alaska,2020,2
200,71.0,AK,2,Alaska,2020,2
201,75.0,AK,2,Alaska,2020,2
202,,AK,2,Alaska,2020,2
203,,AK,2,Alaska,2020,2
204,58.0,AK,2,Alaska,2020,2
205,116.0,AK,2,Alaska,2021,0
206,81.0,AK,2,Alaska,2021,0
207,94.0,AK,2,Alaska,2021,0
208,77.0,AK,2,Alaska,2021,0
209,91.0,AK,2,Alaska,2021,0
210,99.0,AK,2,Alaska,2021,0
211,68.0,AK,2,Alaska,2021,0
212,64.0,AK,2,Alaska,2021,0
213,68.0,AK,2,Alaska,2021,0
214,68.0,AK,2,Alaska,2021,0
215,51.0,AK,2,Alaska,2021,0
216,85.0,AK,2,Alaska,2021,0
133,372.0,AL,1,Alabama,2015,0
134,288.0,AL,1,Alabama,2015,0
135,315.0,AL,1,Alabama,2015,0
136,403.0,AL,1,Alabama,2015,0
137,251.0,AL,1,Alabama,2015,0
138,298.0,AL,1,Alabama,2015,0
139,369.0,AL,1,Alabama,2015,0
140,289.0,AL,1,Alabama,2015,0
141,323.0,AL,1,Alabama,2015,0
142,262.0,AL,1,Alabama,2015,0
143,211.0,AL,1,Alabama,2015,0
144,258.0,AL,1,Alabama,2015,0
145,359.0,AL,1,Alabama,2016,0
146,328.0,AL,1,Alabama,2016,0
147,351.0,AL,1,Alabama,2016,0
148,276.0,AL,1,Alabama,2016,0
149,312.0,AL,1,Alabama,2016,0
150,300.0,AL,1,Alabama,2016,0
151,280.0,AL,1,Alabama,2016,0
152,324.0,AL,1,Alabama,2016,0
153,257.0,AL,1,Alabama,2016,0
154,254.0,AL,1,Alabama,2016,0
155,286.0,AL,1,Alabama,2016,0
156,226.0,AL,1,Alabama,2016,0
157,385.0,AL,1,Alabama,2017,0
158,311.0,AL,1,Alabama,2017,0
